candidate,parent,depth,isolated,joint,ratio,iso_admits,joint_admits
m1,a5.h5,3,0.008063554763793945,0.0067157745361328125,1.2006887247940925,False,False
m1,a6.h9,3,0.014391660690307617,0.0107269287109375,1.3416385135135136,False,False
m2,a6.h9,3,0.00932931900024414,0.010631561279296875,0.8775116612845354,False,False
m4,a6.h9,3,0.009979724884033203,0.005924224853515625,1.6845621377978106,False,False
m1,a6.h9,3,-3.0040740966796875e-05,-4.1961669921875e-05,0.7159090909090909,False,False
m2,a6.h9,3,8.106231689453125e-06,-5.7220458984375e-06,1.4166666666666667,False,False
m4,a6.h9,3,8.654594421386719e-05,2.288818359375e-05,3.78125,False,False
m1,a5.h5,3,0.0001575946807861328,-3.24249267578125e-05,4.860294117647059,False,False
m1,a5.h5,3,0.021398544311523438,0.0012760162353515625,16.769805680119582,False,False
m1,a5.h5,3,0.008826971054077148,0.0019855499267578125,4.4456051873198845,False,False
m1,a3.h0,3,0.014242887496948242,0.0004673004150390625,30.47908163265306,False,False
m1,a5.h5,3,-2.2411346435546875e-05,-2.47955322265625e-05,0.9038461538461539,False,False
m1,a3.h0,3,0.0002467632293701172,-4.00543212890625e-05,6.160714285714286,False,False
m1,a8.h6,3,0.008236408233642578,0.0065708160400390625,1.2534833091436866,False,False
m3,a8.h6,3,0.010085344314575195,0.009632110595703125,1.0470544554455445,False,False
m1,a8.h6,3,-0.00010132789611816406,-3.4332275390625e-05,2.951388888888889,False,False
m3,a8.h6,3,0.0004780292510986328,0.0002460479736328125,1.942829457364341,False,False
m1,a8.h6,3,0.0048024654388427734,0.0045795440673828125,1.0486776343190338,False,False
m3,a8.h6,3,0.005095243453979492,0.006702423095703125,0.7602091633466136,False,False
m1,a8.h6,3,-8.7738037109375e-05,-0.000148773193359375,0.5897435897435898,False,False
m3,a8.h6,3,0.00026297569274902344,0.0002574920654296875,1.0212962962962964,False,False
m1,a8.h6,3,0.008805513381958008,0.0044765472412109375,1.967032381763954,False,False
m3,a8.h6,3,0.009438037872314453,0.0061798095703125,1.5272376543209876,False,False
m1,a8.h6,3,8.821487426757812e-06,-9.5367431640625e-05,0.0925,False,False
