model,modality,pos,strategy,hyperparam,faith_all,faith_attn,%nodes,%heads,%mlps,comps,heads,mlps,paths,time_s,TO,peak_mb,search_mb
gpt2-small,pmp_batched,pos,Threshold,min_contribution=0.1,-0.1896098230749333,0.3416166355508729,8.333333333333334,7.638888888888889,16.666666666666668,13,11,2,28.0,13.19900894165039,False,1898.84814453125,1.71337890625
gpt2-small,pmp_batched,pos,Threshold,min_contribution=0.02,0.8865369280859273,0.9070175227991092,35.8974358974359,31.944444444444443,83.33333333333333,56,46,10,1186.0,174.2545657157898,False,1899.87353515625,2.73876953125
meta-llama/Meta-Llama-3-8B,pap,nopos,LimitedLevelWidth,max_width=100,0.5462616822429907,0.7439252336448599,11.931818181818182,9.5703125,87.5,126,98,28,2201.0,36.10503602027893,False,20140.98779296875,1708.85595703125
meta-llama/Meta-Llama-3-8B,pap,nopos,LimitedLevelWidth,max_width=1000,0.876791277258567,0.876791277258567,57.00757575757576,55.6640625,100.0,602,570,32,24001.0,360.94172406196594,False,21274.14208984375,1553.57275390625
meta-llama/Meta-Llama-3-8B,pap,nopos,Threshold,min_contribution=0.1,,,0.0,0.0,0.0,0,0,0,0.0,19.069446802139282,False,20080.353515625,359.7841796875
meta-llama/Meta-Llama-3-8B,pap,nopos,Threshold,min_contribution=0.5,,,0.0,0.0,0.0,0,0,0,0.0,1.3156695365905762,False,20017.853515625,297.2841796875
meta-llama/Meta-Llama-3-8B,pap,nopos,Threshold,min_contribution=0.02,0.15109034267912771,0.1838006230529595,9.943181818181818,7.32421875,93.75,105,75,30,884.0,439.2905902862549,False,21509.88232421875,1789.31298828125
meta-llama/Meta-Llama-3-8B,pmp,nopos,BestFirstSearch,top_n=100,,,0.0,0.0,0.0,0,0,0,0.0,3601.1791598796844,True,19854.72802734375,134.15869140625
meta-llama/Meta-Llama-3-8B,pmp,nopos,BestFirstSearch,top_n=1000,,,0.0,0.0,0.0,0,0,0,0.0,3602.2913479804993,True,19854.72802734375,134.15869140625
meta-llama/Meta-Llama-3-8B,pmp,nopos,LimitedLevelWidth,max_width=100,-0.00015576323987538941,-0.04968847352024922,2.746212121212121,2.34375,15.625,29,24,5,39.0,2707.800849676132,False,19854.7470703125,134.177734375
